"emp_no","last_name","first_name","dept_name"
10001,"Facello","Georgi","Development"
10002,"Simmel","Bezalel","Sales"
10003,"Bamford","Parto","Production"
10004,"Koblick","Chirstian","Production"
10005,"Maliniak","Kyoichi","Human Resources"
10006,"Preusig","Anneke","Development"
10007,"Zielinski","Tzvetan","Research"
10008,"Kalloufi","Saniya","Development"
10009,"Peac","Sumant","Quality Management"
10010,"Piveteau","Duangkaew","Production"
10010,"Piveteau","Duangkaew","Quality Management"
10011,"Sluis","Mary","Customer Service"
10012,"Bridgland","Patricio","Development"
10013,"Terkki","Eberhardt","Human Resources"
10014,"Genin","Berni","Development"
10015,"Nooteboom","Guoxiang","Research"
10016,"Cappelletti","Kazuhito","Sales"
10017,"Bouloucos","Cristinel","Marketing"
10018,"Peha","Kazuhide","Production"
10018,"Peha","Kazuhide","Development"
10019,"Haddadi","Lillian","Research"
10020,"Warwick","Mayuko","Production"
10021,"Erde","Ramzi","Development"
10022,"Famili","Shahaf","Development"
10023,"Montemayor","Bojan","Development"
10024,"Pettey","Suzette","Production"
10025,"Heyers","Prasadram","Development"
10026,"Berztiss","Yongqiao","Production"
10027,"Reistad","Divier","Development"
10028,"Tempesti","Domenick","Development"
10029,"Herbst","Otmar","Production"
10029,"Herbst","Otmar","Quality Management"
10030,"Demeyer","Elvis","Production"
10031,"Joslin","Karsten","Development"
10032,"Reistad","Jeong","Production"
10033,"Merlo","Arif","Quality Management"
10034,"Swan","Bader","Sales"
10035,"Chappelet","Alain","Production"
10036,"Portugali","Adamantios","Human Resources"
10037,"Makrucki","Pradeep","Development"
10038,"Lortz","Huan","Customer Service"
10039,"Brender","Alejandro","Human Resources"
10040,"Meriste","Weiyi","Development"
10040,"Meriste","Weiyi","Research"
10041,"Lenart","Uri","Sales"
10042,"Stamatiou","Magy","Finance"
10043,"Tzvieli","Yishay","Development"
10044,"Casley","Mingsen","Production"
10045,"Shanbhogue","Moss","Production"
10046,"Rosenbaum","Lucien","Research"
10047,"Nyanchama","Zvonko","Production"
10048,"Syrotiuk","Florian","Development"
10049,"Tramer","Basil","Customer Service"
10050,"Dredge","Yinghua","Finance"
10050,"Dredge","Yinghua","Sales"
10051,"Caine","Hidefumi","Production"
10052,"Nitsch","Heping","Research"
10053,"Zschoche","Sanjiv","Sales"
10054,"Schueller","Mayumi","Human Resources"
10055,"Dredge","Georgy","Marketing"
10056,"Bernini","Brendon","Development"
10057,"Callaway","Ebbe","Development"
10058,"McFarlin","Berhard","Marketing"
10059,"McAlpine","Alejandro","Finance"
10060,"Billingsley","Breannda","Sales"
10060,"Billingsley","Breannda","Customer Service"
10061,"Herber","Tse","Sales"
10062,"Peyn","Anoosh","Development"
10063,"Leonhardt","Gino","Production"
10064,"Jansch","Udi","Research"
10065,"Awdeh","Satosi","Development"
10066,"Schusler","Kwee","Development"
10067,"Stavenow","Claudi","Quality Management"
10068,"Brattka","Charlene","Sales"
10069,"Bierman","Margareta","Production"
10070,"Garigliano","Reuven","Development"
10070,"Garigliano","Reuven","Research"
10071,"Lipner","Hisao","Human Resources"
10072,"Sidou","Hironoby","Development"
10073,"McClurg","Shir","Quality Management"
10074,"Bernatsky","Mokhtar","Development"
10075,"Dolinsky","Gao","Development"
10076,"Ritzmann","Erez","Development"
10077,"Azuma","Mona","Human Resources"
10078,"Mondadori","Danel","Development"
10079,"Gils","Kshitij","Development"
10080,"Baek","Premal","Finance"
10080,"Baek","Premal","Human Resources"
10081,"Rosen","Zhongwei","Production"
10082,"Lortz","Parviz","Research"
10083,"Zockler","Vishv","Production"
10084,"Kalloufi","Tuval","Production"
10085,"Malabarba","Kenroku","Production"
10086,"Foote","Somnath","Human Resources"
10087,"Eugenio","Xinglin","Sales"
10088,"Syrzycki","Jungsoon","Sales"
10088,"Syrzycki","Jungsoon","Customer Service"
10089,"Flasterstein","Sudharsan","Sales"
10090,"Hofting","Kendra","Development"
10091,"Gomatam","Amabile","Development"
